PLAYERS LEAGUE PODCAST  —  WEEK 3 RUNDOWN
generated 2026-09-21  ·  6 matchups  ·  season 2026

1  ·  WELCOME BACK

,Guest,
,Cold open / notes,
,This week's storylines,
,,Closest game: Noah vs Grant (~1 pts apart)
,,Biggest mismatch: Adam vs Leif (~9 pts)
,,Most loaded roster: Adam (~133 projected)

2  ·  AWARD PREDICTIONS

,Award,Pick,Owner,Why
,Leif,Kyle Pitts Sr.,TE,ATL,6,10
,Leif,Stefon Diggs,WR,WSH,8,10
,Leif,Dalton Schultz,TE,HOU,FA/waiver,9
,Leif,Woody Marks,RB,HOU,9,9
,Leif,Caleb Douglas,WR,MIA,15,8
,Leif,Kaelon Black,RB,SF,11,8
,Leif,Marvin Harrison Jr.,WR,ARI,7,7
,Leif,Jayden Reed,WR,GB,10,0
,Leif,James Conner,RB,ARI,FA/waiver,0
,Leif,Jason Myers,K,SEA,14,10
,Leif,Texans D/ST,D/ST,HOU,12,8
,Mitchell,Jahmyr Gibbs,RB,DET,1,26
,Mitchell,Jaxson Dart,QB,NYG,6,21
,Mitchell,Nico Collins,WR,HOU,2,16
,Mitchell,Daniel Jones,QB,IND,14,14
,Mitchell,DJ Moore,WR,BUF,5,12
,Mitchell,Matthew Golden,WR,GB,8,12
,Mitchell,Tyler Warren,TE,IND,4,11
,Mitchell,Courtland Sutton,WR,DEN,7,11
,Mitchell,Travis Kelce,TE,KC,10,11
,Mitchell,Rachaad White,RB,WSH,9,9
,Mitchell,Chris Brooks,RB,GB,FA/waiver,8
,Mitchell,Jerry Jeudy,WR,CLE,15,6
,Mitchell,Josh Jacobs,RB,GB,3,0
,Mitchell,Tank Dell,WR,HOU,11,0
,Mitchell,Cameron Dicker,K,LAC,13,10
,Mitchell,Buccaneers D/ST,D/ST,TB,FA/waiver,5
,Mitchell,Broncos D/ST,D/ST,DEN,12,4
,Christian,Jordan Love,QB,GB,14,18
,Christian,Trevor Lawrence,QB,JAX,7,18
,Christian,CeeDee Lamb,WR,DAL,1,17
,Christian,Chase Brown,RB,CIN,2,16
,Christian,DeVonta Smith,WR,PHI,4,16
,Christian,Aaron Jones Sr.,RB,MIN,10,14
,Christian,Travis Etienne Jr.,RB,NO,3,13
,Christian,George Kittle,TE,SF,8,13
,Christian,Deebo Samuel Sr.,WR,SF,9,12
,Christian,Jameson Williams,WR,DET,6,11
,Christian,Bhayshul Tuten,RB,JAX,5,11
,Christian,Khalil Shakir,WR,BUF,11,10
,Christian,Chig Okonkwo,TE,WSH,16,6
,Christian,Dylan Sampson,RB,CLE,15,0
,Christian,Brandon Aubrey,K,DAL,12,10
,Christian,Seahawks D/ST,D/ST,SEA,13,8
,Christian,Chiefs D/ST,D/ST,KC,FA/waiver,7
,Peter,Lamar Jackson,QB,BAL,5,21
,Peter,Bijan Robinson,RB,ATL,1,20
,Peter,Dak Prescott,QB,DAL,13,17
,Peter,George Pickens,WR,DAL,3,14
,Peter,Tee Higgins,WR,CIN,4,13
,Peter,Romeo Doubs,WR,NE,FA/waiver,11
,Peter,Denzel Boston,WR,CLE,16,11
,Peter,Tucker Kraft,TE,GB,6,10
,Peter,Kyle Monangai,RB,CHI,9,8
,Peter,Jonathon Brooks,RB,CAR,7,7
,Peter,Jalen Nailor,WR,LV,12,6
,Peter,Jalen McMillan,WR,TB,11,6
,Peter,Chris Rodriguez Jr.,RB,JAX,10,4
,Peter,A.J. Brown,WR,NE,2,0
,Peter,Jordan Mason,RB,MIN,8,0
,Peter,Evan McPherson,K,CIN,15,8
,Peter,Rams D/ST,D/ST,LAR,14,5
,Logan,Jalen Hurts,QB,PHI,6,20
,Logan,Justin Jefferson,WR,MIN,1,18
,Logan,Saquon Barkley,RB,PHI,2,18
,Logan,Tetairoa McMillan,WR,CAR,4,14
,Logan,Jeremiyah Love,RB,ARI,3,13
,Logan,Isaiah Likely,TE,NYG,9,12
,Logan,Michael Pittman Jr.,WR,PIT,7,12
,Logan,Luther Burden III,WR,CHI,5,11
,Logan,Xavier Worthy,WR,KC,10,11
,Logan,Rashid Shaheed,WR,SEA,14,11
,Logan,J.K. Dobbins,RB,DEN,8,11
,Logan,Tyler Allgeier,RB,ARI,11,8
,Logan,Braelon Allen,RB,NYJ,FA/waiver,7
,Logan,Mike Washington Jr.,RB,LV,13,4
,Logan,De'Zhaun Stribling,WR,SF,12,0
,Logan,Chase McLaughlin,K,TB,16,9
,Logan,Chargers D/ST,D/ST,LAC,15,3
