PLAYERS LEAGUE PODCAST  —  WEEK 2 RUNDOWN
generated 2026-09-15  ·  6 matchups  ·  season 2026

1  ·  WELCOME BACK

,Guest,
,Cold open / notes,
,This week's storylines,
,,Closest game: John vs Grant (~1 pts apart)
,,Biggest mismatch: Logan vs Leif (~8 pts)
,,Most loaded roster: Leif (~128 projected)

2  ·  AWARD PREDICTIONS

,Award,Pick,Owner,Why
,Adam,Jaxon Smith-Njigba,WR,SEA,1,18
,Adam,Kenneth Walker III,RB,KC,2,18
,Adam,Chris Olave,WR,NO,3,16
,Adam,Bucky Irving,RB,TB,4,14
,Adam,Rome Odunze,WR,CHI,5,12
,Adam,Jalen Coker,WR,CAR,10,11
,Adam,Sam LaPorta,TE,DET,6,11
,Adam,Rico Dowdle,RB,PIT,8,10
,Adam,Mark Andrews,TE,BAL,11,10
,Adam,Kenny Gainwell,RB,TB,9,10
,Adam,George Holani,RB,SEA,FA/waiver,8
,Adam,Cyrus Allen,WR,KC,16,4
,Adam,Will Reichard,K,MIN,14,9
,Adam,Eagles D/ST,D/ST,PHI,15,7
,Logan,Jalen Hurts,QB,PHI,6,20
,Logan,Justin Jefferson,WR,MIN,1,18
,Logan,Saquon Barkley,RB,PHI,2,17
,Logan,Tetairoa McMillan,WR,CAR,4,14
,Logan,Jeremiyah Love,RB,ARI,3,13
,Logan,Luther Burden III,WR,CHI,5,12
,Logan,J.K. Dobbins,RB,DEN,8,12
,Logan,Michael Pittman Jr.,WR,PIT,7,11
,Logan,Isaiah Likely,TE,NYG,9,11
,Logan,Xavier Worthy,WR,KC,10,11
,Logan,Rashid Shaheed,WR,SEA,14,9
,Logan,Tyler Allgeier,RB,ARI,11,7
,Logan,Mike Washington Jr.,RB,LV,13,4
,Logan,De'Zhaun Stribling,WR,SF,12,0
,Logan,Chase McLaughlin,K,TB,16,9
,Logan,Chargers D/ST,D/ST,LAC,15,7
,Leif,Josh Allen,QB,BUF,3,23
,Leif,Christian McCaffrey,RB,SF,1,22
,Leif,Patrick Mahomes,QB,KC,13,18
,Leif,Derrick Henry,RB,BAL,2,17
,Leif,David Montgomery,RB,HOU,5,14
,Leif,Davante Adams,WR,LAR,4,14
,Leif,Kyle Pitts Sr.,TE,ATL,6,11
,Leif,Stefon Diggs,WR,WSH,8,11
,Leif,Jayden Reed,WR,GB,10,10
,Leif,Marvin Harrison Jr.,WR,ARI,7,9
,Leif,Caleb Douglas,WR,MIA,15,9
,Leif,Kaelon Black,RB,SF,11,8
,Leif,Justice Hill,RB,BAL,FA/waiver,8
,Leif,Woody Marks,RB,HOU,9,7
,Leif,Jason Myers,K,SEA,14,10
,Leif,Texans D/ST,D/ST,HOU,12,7
,Peter,Bijan Robinson,RB,ATL,1,23
,Peter,Lamar Jackson,QB,BAL,5,20
,Peter,Dak Prescott,QB,DAL,13,20
,Peter,George Pickens,WR,DAL,3,15
,Peter,Tee Higgins,WR,CIN,4,12
,Peter,Tucker Kraft,TE,GB,6,11
,Peter,Jordan Mason,RB,MIN,8,10
,Peter,Kyle Monangai,RB,CHI,9,10
,Peter,Denzel Boston,WR,CLE,16,9
,Peter,Jonathon Brooks,RB,CAR,7,8
,Peter,Jalen Nailor,WR,LV,12,7
,Peter,Jalen McMillan,WR,TB,11,6
,Peter,Chris Rodriguez Jr.,RB,JAX,10,6
,Peter,A.J. Brown,WR,NE,2,0
,Peter,Evan McPherson,K,CIN,15,8
,Peter,Rams D/ST,D/ST,LAR,14,6
,Mitchell,Jahmyr Gibbs,RB,DET,1,24
,Mitchell,Jaxson Dart,QB,NYG,6,19
,Mitchell,Nico Collins,WR,HOU,2,16
,Mitchell,Daniel Jones,QB,IND,14,15
,Mitchell,DJ Moore,WR,BUF,5,12
,Mitchell,Tyler Warren,TE,IND,4,12
,Mitchell,Courtland Sutton,WR,DEN,7,12
,Mitchell,Matthew Golden,WR,GB,8,11
,Mitchell,Travis Kelce,TE,KC,10,10
,Mitchell,Chris Brooks,RB,GB,FA/waiver,10
,Mitchell,Rachaad White,RB,WSH,9,8
,Mitchell,Jerry Jeudy,WR,CLE,15,7
,Mitchell,Josh Jacobs,RB,GB,3,0
,Mitchell,Tank Dell,WR,HOU,11,0
,Mitchell,Kaleb Johnson,RB,GB,FA/waiver,0
,Mitchell,Cameron Dicker,K,LAC,13,10
,Mitchell,Broncos D/ST,D/ST,DEN,12,7
